"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Cincinnati","United States",2012,2012-08-30,"M",2,"Jerry Dietz",1972-02-22,40.5201916,74,"United States","Neal Schmidt",1977-01-25,35.5947981,74,"United States","Q33","Brandon Webb",1978-09-26,33.927447,72,"United States","Tim Haeffner",1978-06-22,34.1902806,76,"United States","Q32","21-13, 21-18",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",10,"Christopher Austin",1991-07-09,21.1444216,74,"United States","Robbie Page",1992-07-10,20.1396304,84,"United States","Q28","Conrad Jones",2059-10-27,52.843258,70,"United States","Scott Brown",1978-11-12,33.798768,,"United States","Q37","21-13, 21-16",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",15,"Brian Hawkins",1969-02-14,43.5400411,,"United States","Rob Long",2066-09-12,45.9657769,,"United States","Q29","Anthony Hock",,,,"United States","Jon Newton",1991-03-19,21.4510609,78,"United States","Q36","Forfeit or other",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",18,"Bill Schultz",1980-02-11,32.550308,75,"United States","Jonathan Brady",1984-11-10,27.8028747,,"United States","Q35","Matt West",1974-10-11,37.8863792,,"United States","Patrick Stroupe",,,,"United States","Q30","21-7, 21-10",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",31,"Jonathan Drake",1989-10-25,22.8473648,74,"United States","Matt Gordon",1977-07-01,35.1649555,,"United States","Q31","Bill Bowe",1983-04-27,29.3442847,74,"United States","Pavel Bodjanac",2068-12-29,43.6687201,73,"United States","Q34","22-20, 17-21, 15-7",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",33,"Adam Roberts",1976-01-25,36.5968515,73,"United States","Andrei Belov",1984-05-15,28.29295,77,"Russia","21, Q1","Jerry Dietz",1972-02-22,40.5201916,74,"United States","Neal Schmidt",1977-01-25,35.5947981,74,"United States","Q33","21-16, 21-11",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",34,"Nils Dauburs",1981-06-17,31.2032854,,"Latvia","Patrick Bolton",1981-10-02,30.9103354,77,"United States","Q16","Joe Ortinau",1982-10-08,29.8945927,,"United States","Scott Castevens",1979-03-19,33.4510609,74,"United States","Q17","23-21, 21-15",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",35,"Raffe Paulis",1986-05-13,26.2997947,74,"United States","Tri Bourne",1989-06-20,23.1950719,77,"United States","Q9","Dominic Michalec",,,,"United States","Josh Mason",,,,"United States","Q24","Forfeit or other",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",36,"Danny Cook",1981-06-23,31.1868583,77,"United States","William Robbins",1977-06-05,35.2361396,77,"United States","Q25","Billy Kolinske",1986-08-06,26.0670773,78,"United States","Justin Phipps",1978-05-09,34.3107461,74,"United States","Q8","0-21, 22-20, 15-11",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",37,"Christopher Austin",1991-07-09,21.1444216,74,"United States","Robbie Page",1992-07-10,20.1396304,84,"United States","Q28","Hudson Bates",1985-03-11,27.4715948,77,"United States","Mark Burik",1985-08-12,27.0499658,75,"United States","Q5","21-17, 17-21, 15-12",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",38,"Brad Torsone",1975-01-14,37.6262834,78,"United States","Kevin Beukema",1980-02-20,32.5256674,75,"United States","Q12","Chris Luers",1974-07-30,38.0862423,75,"United States","Ronnie Mahlerwein",1978-05-17,34.2888433,74,"United States","Q21","21-13, 22-20",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",39,"Piotr Marciniak",1986-10-01,25.9137577,78,"Poland","Shane Donohue",1987-07-09,25.1444216,74,"United States","24, Q13","Brady Schuler",1973-12-09,38.7241615,76,"United States","Logan Williams",,,,"United States","Q20","21-14, 21-14",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Cincinnati","United States",2012,2012-08-30,"M",40,"Dan Laure",1986-06-27,26.1765914,,"United States","Steven VanderWerp",1990-03-30,22.4202601,72,"United States","Q4","Brian Hawkins",1969-02-14,43.5400411,,"United States","Rob Long",2066-09-12,45.9657769,,"United States","Q29","21-19, 21-13",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
