"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Waikiki","United States",2019,2019-09-19,"M",2,"Bryce Mayer",1990-08-06,29.119781,74,"United States","Tal Shavit",1986-04-07,33.4510609,,"United States","Q17","Charles Porter",1994-01-20,25.6618754,73,"United States","Clark Porter",1989-03-14,30.5160849,75,"United States","Q16","21-19, 21-14","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",3,"Jake Rosener",1987-06-28,32.2272416,78,"United States","Ric Cervantes",1988-02-06,31.6167009,71,"United States","Q9","Samusu Semo",1992-06-25,27.2334018,,"United States","Scott Cronick",1995-07-03,24.2135524,,"United States","Q24","Forfeit or other",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",6,"Gabriel Ospina",1993-07-10,26.1930185,,"United States","Matt Motter",1984-08-06,35.118412,,"United States","Q12","Bobby Jones",1978-12-09,40.7775496,70,"United States","Christopher Shipps",1972-09-04,47.0390144,,"United States","Q21","21-16, 21-9","0:50","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",7,"Bobby Jacobs",1986-03-11,33.5249829,,"United States","Myles Muagututia",1991-03-09,28.5311431,74,"United States","Q13","Andrew Ellis",1981-11-11,37.853525,,"United States","Dillon Cox",1995-06-07,24.2847365,,"United States","Q20","21-18, 26-24","0:59","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",10,"John Schwengel",2000-04-17,19.4223135,,"United States","Steven Irvin",1991-08-11,28.1067762,77,"United States","16, Q14","Chris Fleming",1987-04-03,32.4626968,72,"United States","Nemanja Komar",1985-12-14,33.7631759,74,"Serbia","Q19","21-14, 21-10","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",11,"Christopher Austin",1991-07-09,28.1971253,74,"United States","Earl Schultz",1996-05-07,23.3675565,77,"United States","Q11","David McBride",1994-07-03,25.2128679,,"United States","Michael Lubliner",1987-05-18,32.3394935,,"United States","Q22","21-16, 21-15","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",14,"Brian Miller",1994-02-26,25.5605749,,"United States","Jon Ferrari",1994-04-20,25.4154689,,"United States","Q10","Joe Keller",1981-09-30,37.9685147,,"United States","John Sutton",1982-09-22,36.991102,,"United States","Q23","21-8, 21-11","0:34","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",15,"Marty Lorenz",1990-12-28,28.7255305,77,"United States","Pete DiVenere",1971-02-27,48.5585216,74,"United States","Q15","Christopher Shaffer",1997-06-20,22.2477755,,"United States","Cole Fiers",1995-02-02,24.6269678,76,"United States","Q18","22-20, 21-15","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",17,"John Hyden",1972-10-07,46.9486653,77,"United States","Theo Brunner",1985-03-17,34.5078713,79,"United States","12, Q1","Bryce Mayer",1990-08-06,29.119781,74,"United States","Tal Shavit",1986-04-07,33.4510609,,"United States","Q17","21-11, 21-11","0:35","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Waikiki","United States",2019,2019-09-19,"M",18,"Ian Satterfield",1991-08-08,28.1149897,78,"United States","Raffe Paulis",1986-05-13,33.3524983,74,"United States","Q8","Jake Rosener",1987-06-28,32.2272416,78,"United States","Ric Cervantes",1988-02-06,31.6167009,71,"United States","Q9","21-17, 21-19","0:48","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
