"tourney_name","tourney_date","match_num","match_stats_id","match_stats_link","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,247,"MS033","http://www.atpworldtour.com/en/scores/2010/410/MS033/match-stats",122,6,5,123,71,43,29,16,7,12,5,3,95,60,43,15,15,2,6
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,246,"MS037","http://www.atpworldtour.com/en/scores/2010/410/MS037/match-stats",111,6,0,81,54,37,13,13,2,5,4,6,80,45,26,14,13,3,9
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,245,"QS009","http://www.atpworldtour.com/en/scores/2010/410/QS009/match-stats",58,1,3,66,40,27,17,10,7,8,0,0,48,31,21,9,9,3,6
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,244,"QS010","http://www.atpworldtour.com/en/scores/2010/410/QS010/match-stats",75,0,3,58,44,28,7,9,1,3,2,1,59,43,21,6,9,6,11
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,243,"QS011","http://www.atpworldtour.com/en/scores/2010/410/QS011/match-stats",84,4,2,63,36,23,16,8,10,11,2,0,55,32,14,11,7,2,7
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,242,"QS012","http://www.atpworldtour.com/en/scores/2010/410/QS012/match-stats",99,9,1,67,44,35,13,11,1,1,1,4,81,47,29,20,11,4,6
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,241,"QS014","http://www.atpworldtour.com/en/scores/2010/410/QS014/match-stats",57,2,1,40,23,20,12,8,0,0,0,0,37,24,13,5,7,2,6
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,240,"QS013","http://www.atpworldtour.com/en/scores/2010/410/QS013/match-stats",151,2,1,101,77,48,15,15,4,7,5,2,117,72,40,23,16,14,20
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,239,"QS008","http://www.atpworldtour.com/en/scores/2010/410/QS008/match-stats",149,3,5,92,58,42,17,13,5,7,6,4,92,62,38,15,13,9,12
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,238,"QS016","http://www.atpworldtour.com/en/scores/2010/410/QS016/match-stats",136,2,1,87,64,38,16,14,4,8,1,4,103,58,34,21,14,8,13
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,237,"QS018","http://www.atpworldtour.com/en/scores/2010/410/QS018/match-stats",84,2,1,59,37,27,11,10,0,2,2,2,74,43,24,17,10,3,7
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,236,"QS020","http://www.atpworldtour.com/en/scores/2010/410/QS020/match-stats",80,2,1,58,41,31,11,10,0,0,6,0,68,45,28,11,10,5,8
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,235,"QS022","http://www.atpworldtour.com/en/scores/2010/410/QS022/match-stats",155,2,5,107,71,45,13,16,7,13,6,7,101,58,33,18,16,5,13
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,234,"QS024","http://www.atpworldtour.com/en/scores/2010/410/QS024/match-stats",85,6,1,55,32,26,13,10,3,4,3,3,71,40,25,12,10,8,12
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,233,"QS026","http://www.atpworldtour.com/en/scores/2010/410/QS026/match-stats",95,1,0,53,25,17,19,9,1,2,0,2,76,45,26,13,9,7,11
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,232,"QS028","http://www.atpworldtour.com/en/scores/2010/410/QS028/match-stats",166,3,1,112,70,50,21,16,10,13,6,4,98,56,40,19,16,4,9
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,231,"QS021","http://www.atpworldtour.com/en/scores/2010/410/QS021/match-stats",121,2,4,76,46,28,18,13,9,13,8,7,83,33,22,24,13,5,10
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,230,"QS019","http://www.atpworldtour.com/en/scores/2010/410/QS019/match-stats",108,1,2,83,64,42,5,11,4,7,0,7,73,33,22,21,11,3,7
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,229,"QS027","http://www.atpworldtour.com/en/scores/2010/410/QS027/match-stats",82,1,0,60,44,29,10,9,3,4,2,2,63,30,19,14,10,7,12
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,228,"QS029","http://www.atpworldtour.com/en/scores/2010/410/QS029/match-stats",149,8,6,107,49,39,33,16,1,3,0,2,116,69,50,30,17,3,4
"ATP World Tour Masters 1000 Monte Carlo",2010-04-11,227,"QS017","http://www.atpworldtour.com/en/scores/2010/410/QS017/match-stats",55,1,2,48,42,30,1,8,2,3,0,0,48,47,23,0,8,3,8
