"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Austin","United States",2018,2018-05-17,"M",1,"Maddison McKibbin",1990-11-16,27.4989733,76,"United States","Riley McKibbin",1988-09-09,29.6837782,74,"United States","13, Q1","Jay Johnson",1987-08-23,30.7323751,75,"United States","Shane Sigg",1981-11-28,36.4654346,75,"United States","Q64","21-16, 21-17","0:48","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",2,"Clint Coe",1982-05-08,36.0246407,75,"United States","Tim May",1979-07-28,38.8035592,,"United States","Q32","George Gutierrez",1989-05-12,29.0130048,,"United States","Jordan Gladstone",1990-12-02,27.4551677,,"United States","Q33","21-15, 21-17","0:47","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",3,"Carl Naslund",1987-05-18,30.9979466,,"United States","John-Michael Plummer",1990-03-28,28.1368925,,"United States","Q48","Angel Dache",1990-10-03,27.6194387,,"United States","Jason Medero",1982-04-19,36.0766598,,"United States","Q17","21-15, 18-21, 15-11","1:03","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",4,"Francisco Quesada-Paneque",1989-09-24,28.6433949,,"United States","Troy Schlicker",1979-10-23,38.5653662,,"United States","Q16","David Lee",1982-03-08,36.1916496,80,"United States","Tal Shavit",1986-04-07,32.109514,,"United States","Q49","23-25, 21-18, 15-9","1:08","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",5,"Garrett Wilson",1990-06-07,27.9425051,80,"United States","Kacey Losik",2000-05-06,18.0287474,,"United States","Q9","Evan Cory",1997-11-14,20.5037645,75,"United States","Seth Braquet",1997-09-18,20.659822,,"United States","Q56","21-16, 21-18","0:38","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",6,"Ozz Borges",1985-01-12,33.3415469,77,"Virgin Islands","Ryan Meehan",1989-06-24,28.8952772,,"United States","Q41","Andrew Ellis",1981-11-11,36.5119781,,"United States","Christian Honer",1995-05-08,23.0253251,73,"United States","Q24","21-18, 25-23","1:08","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",7,"Hagen Smith",1995-04-10,23.1019849,73,"United States","Lucas Yoder",1995-02-19,23.2388775,76,"United States","Q25","Jared Carlson",1988-10-29,29.5468857,,"United States","Shawn Ledig",1975-10-27,42.5544148,77,"United States","Q40","21-10, 21-15","0:31","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",8,"Andy Benesh",1995-03-14,23.1759069,81,"United States","Cole Fiers",1995-02-02,23.2854209,76,"United States","Q57","Brett Ryan",1986-10-15,31.5865845,,"United States","Brian Miller",1994-02-26,24.2190281,,"United States","Q8","21-18, 12-21, 15-13","1:01","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",9,"Adam Roberts",1976-01-25,42.3080082,73,"United States","Spencer Sauter",1994-08-18,23.7453799,80,"United States","Q5","Ben Price",1993-11-02,24.5366188,,"United States","David McBride",1994-07-03,23.871321,,"United States","Q60","21-12, 21-13","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",10,"Nathan Yang",1991-06-15,26.9212868,75,"United States","Steven Irvin",1991-08-11,26.7652293,77,"United States","Q37","Kyle Stevenson",1992-08-16,25.7494867,76,"United States","Tomas Salava",1983-04-17,35.08282,73,"Czech Republic","Q28","23-21, 14-21, 15-12","1:24","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",11,"David Updegrove",1987-08-18,30.7460643,,"United States","Lennart Huijbers",1987-02-27,31.2169747,,"United States","Q21","Chris Fleming",1987-04-03,31.1211499,72,"United States","Kailum Rinaldi",1995-09-19,22.6584531,,"United States","Q44","21-16, 21-15","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Austin","United States",2018,2018-05-17,"M",12,"Bruno Amorim",1983-06-10,34.934976,,"United States","Chris Luers",1974-07-30,43.797399,75,"United States","16, Q12","Adam Wienckowski",1999-01-01,19.3730322,,"United States","Peter Connole",1991-06-29,26.8829569,79,"United States","Q53","19-21, 21-17, 15-13","0:56","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
