"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",2,"Matt Motter",1984-08-06,33.0294319,,"United States","Matt Olson",1980-01-02,37.6235455,74,"United States","Q65","Kailum Rinaldi",1995-09-19,21.9110198,,"United States","Parker Anderson",1991-05-11,26.2696783,,"United States","Q64","21-9, 21-9","0:34","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",3,"Connor Hughes",1990-07-20,27.0773443,78,"United States","Travis Woloson",1991-11-09,25.7713895,76,"United States","Q33","Logan Glave",1999-01-08,18.6064339,,"United States","Luke Salm",1999-04-26,18.3107461,,"United States","Q96","21-7, 21-7","0:34","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",4,"Alex Diaz",1991-09-14,25.9247091,,"United States","Philip Burrow",1984-05-29,33.2183436,,"United States","Q32","Christopher Griebenow",1993-12-28,23.6358658,,"United States","Christopher Shaffer",1997-06-20,20.1587953,,"United States","Q97","21-13, 21-18","0:45","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",6,"Cole Fiers",1995-02-02,22.5379877,76,"United States","Hagen Smith",1995-04-10,22.3545517,73,"United States","Q48","Luke Turner",2002-03-19,15.4140999,,"United States","Sam Walton",2002-01-19,15.5756331,,"United States","Q81","21-4, 21-6","0:30","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",7,"Eric Beranek",1996-07-21,21.0732375,,"United States","Matt Prosser",1978-11-27,38.7214237,79,"United States","Q49","Clay Messenger",1999-08-31,17.963039,,"United States","Kibbee Jelks",1984-04-27,33.3059548,74,"United States","Q80","21-17, 22-20","0:51","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",10,"Christopher Austin",1991-07-09,26.1081451,74,"United States","Hawk Hatcher",1991-08-05,26.0342231,73,"United States","Q73","Aaron Wexler",1983-04-08,34.3600274,72,"United States","Robert deAurora",1981-03-28,36.3887748,76,"United States","Q56","21-12, 21-13","0:44","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",11,"Justin Phipps",1978-05-09,39.2744695,74,"United States","Luke Myers",1979-08-14,38.0095825,75,"Canada","Q41","Madison Hayden",1994-02-06,23.5263518,,"United States","Steven Irvin",1991-08-11,26.017796,77,"United States","Q88","19-21, 21-17, 15-9","1:03","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",12,"David Smith",1972-02-26,45.4729637,75,"United States","Nathan Yang",1991-06-15,26.1738535,75,"United States","30, Q24","Curt Lee",1976-04-02,41.3744011,,"United States","Kevin Jones",1970-10-03,46.8720055,,"United States","Q105","21-12, 21-11","0:45","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",13,"John Schwengel",2000-04-17,17.3333333,,"United States","Rowdy Lennon",1999-05-20,18.2450376,,"United States","Q25","Austin Zahn",1988-10-07,28.8596851,,"United States","Tyler Caldwell",1983-11-07,33.7768652,,"United States","Q104","21-16, 21-17","0:36","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",14,"Alex Padilla",1974-04-04,43.3702943,75,"United States","Patrick Volosin",1983-08-16,34.0041068,,"United States","Q89","Chris Dedo",1998-06-15,19.1731691,,"United States","Evan Murray",1998-07-17,19.0855578,,"United States","Q40","21-18, 20-22, 18-16","1:12","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",15,"Aaron Wachtfogel",1981-11-08,35.7727584,73,"United States","Bill Strickland",1980-12-26,36.6406571,81,"United States","Q72","Miles Partain",2001-12-18,15.6632444,,"United States","Tyler Bird",,,,,"Q57","19-21, 21-15, 15-11","1:05","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2017,2017-08-17,"M",18,"Jeremie Holmes",1978-10-03,38.8720055,75,"United States","Matt Heagy",1980-02-05,37.5304586,76,"United States","Q69","Gary Barnes",1971-03-31,46.3819302,76,"United States","Riley Theunissen",1993-02-03,24.5338809,,"United States","Q60","21-14, 21-16","0:42","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
